Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,19003.7,+71.1,+0.38%,72217
May 2026,18932.5,+2132.7,+12.69%,72217
April 2026,16799.9,-2291.7,-12.00%,39531
March 2026,19091.5,+1940.3,+11.31%,70479
February 2026,17151.2,+244.6,+1.45%,34296
January 2026,16906.6,+315.4,+1.90%,36102
December 2025,16591.2,+251.3,+1.54%,38102
November 2025,16339.9,-1607.2,-8.96%,36877
October 2025,17947.1,+1137.5,+6.77%,54684
September 2025,16809.5,-1865.5,-9.99%,39624
August 2025,18675.1,+4192.3,+28.95%,50604
July 2025,14482.8,-2953.0,-16.94%,31470
June 2025,17435.8,+1881.2,+12.09%,51781
May 2025,15554.7,-231.1,-1.46%,33547
April 2025,15785.7,+1271.6,+8.76%,35893
March 2025,14514.1,-3056.4,-17.39%,33385
February 2025,17570.5,+4352.6,+32.93%,62931
January 2025,13218.0,-692.7,-4.98%,27632
December 2024,13910.7,+78.0,+0.56%,40259
November 2024,13832.7,-589.6,-4.09%,29685
October 2024,14422.3,-726.2,-4.79%,31725
September 2024,15148.5,+1268.9,+9.14%,54094
August 2024,13879.6,-2520.0,-15.37%,30312
July 2024,16399.6,-4498.0,-21.52%,37025
June 2024,20897.6,+4116.5,+24.53%,49204
May 2024,16781.1,+5245.0,+45.47%,69808
April 2024,11536.1,-2067.9,-15.20%,24940
March 2024,13604.0,+1773.8,+14.99%,30969
February 2024,11830.3,+238.7,+2.06%,45965
January 2024,11591.6,-1034.7,-8.19%,23507
December 2023,12626.2,+1492.3,+13.40%,32098
November 2023,11134.0,-300.7,-2.63%,27302
October 2023,11434.6,-1754.9,-13.31%,23918
September 2023,13189.6,-1119.0,-7.82%,36263
August 2023,14308.6,-7169.9,-33.38%,26201
July 2023,21478.5,-12670.8,-37.10%,39834
June 2023,34149.3,-,-,70540
