Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,6084.8,+111.5,+1.87%,12595
May 2026,5973.3,+852.0,+16.64%,12595
April 2026,5121.3,-38.6,-0.75%,7958
March 2026,5159.9,-385.1,-6.95%,9526
February 2026,5545.0,+408.8,+7.96%,8069
January 2026,5136.3,-401.4,-7.25%,7497
December 2025,5537.6,+438.0,+8.59%,8995
November 2025,5099.6,-378.7,-6.91%,7410
October 2025,5478.2,+869.9,+18.88%,10266
September 2025,4608.4,-895.8,-16.27%,7281
August 2025,5504.1,+189.0,+3.56%,7731
July 2025,5315.1,+687.8,+14.86%,9677
June 2025,4627.3,-3.5,-0.08%,7112
May 2025,4630.8,-887.6,-16.08%,7307
April 2025,5518.4,+93.7,+1.73%,16091
March 2025,5424.7,-520.4,-8.75%,12088
February 2025,5945.1,-409.0,-6.44%,8929
January 2025,6354.2,-266.3,-4.02%,8875
December 2024,6620.5,+797.1,+13.69%,11669
November 2024,5823.4,-1226.8,-17.40%,8359
October 2024,7050.1,+1334.3,+23.34%,14387
September 2024,5715.8,-824.7,-12.61%,8857
August 2024,6540.6,-430.5,-6.18%,9865
July 2024,6971.1,+218.7,+3.24%,13017
June 2024,6752.4,-1703.2,-20.14%,11899
May 2024,8455.6,-1891.2,-18.28%,13928
April 2024,10346.7,-4330.6,-29.51%,16633
March 2024,14677.3,-7623.6,-34.19%,23308
February 2024,22301.0,-12530.0,-35.97%,36480
January 2024,34831.0,-,-,46139
